,亞洲地區 ASIA,,,,,,,,,,,,,,,,,,美洲地區 AMERICA,,,,歐洲地區 EUROPE,,,,,,,,,大洋洲 OCEANIA,,,,,非洲 OCEANIA,,,"其他
 Others","總計
 Grand Total"
,"香港
Hong Kong",澳門 Macao,大陸 Mainland China,"日本 
Japan",韓國 Korea,新加坡 Singapore,馬來西亞 Malaysia,泰國 Thailand,菲律賓 Philippines,印尼 Indonesia,汶淶 Brunei,越南 Vietnam,緬甸 Myanmar,柬埔寨 Cambodia,阿拉伯聯合大公國 United Arab Emirates,土耳其 Turkey,亞洲其他地區 Others,亞洲合計 Total,美國 U.S.A.,加拿大 Canada,美洲其他地區 Others,美洲合計 Total,法國 France,德國 Germany,義大利 Italy,荷蘭 Netherlands,瑞士 Switzerland,英國 U.K.,奧地利 Austria,歐洲其他地區 Others,歐洲合計 Total,澳大利亞 Australia,"紐西蘭
New Zealand",帛琉 Palau,大洋洲其他地區 Others,大洋洲合計 Total,南非 S.Africa,非洲其他地區 Others,非洲合計 Total,,
1980,"63,812", - , - ,"173,581","76,995","19,563","4,418","14,956","35,718","4,507", - , - , - , - , - , - ,169,"402,244","69,448","1,548","2,134","73,754",586,"1,239",461,206,207,898, - ,849,"4,830",999,75, - ,226,"1,300",946,"1,650","2,773", - ,"484,901"
1981,"72,418", - , - ,"218,486","98,241","20,251","5,035","15,919","35,170","5,694", - , - , - , - , - , - ,255,"480,673","76,399","1,741","1,791","80,901",877,"1,345",683,264,321,"1,499", - ,"1,238","6,777","1,368",123, - ,288,"1,779","2,186","2,982","5,407", - ,"575,537"
1982,"81,558", - , - ,"260,414","67,002","24,124","8,996","21,726","42,274","6,985", - , - , - , - , - , - ,360,"522,434","98,995","2,046","2,047","104,135","1,427","1,275",974,297,325,"1,261", - ,"1,740","7,786","1,041",182, - ,221,"1,444","2,441","2,162","4,870", - ,"640,669"
1983,"98,754", - , - ,"256,102","75,007","25,656","10,320","23,631","37,375","7,693", - , - , - , - , - , - ,430,"545,211","110,148","2,159","2,203","115,874","1,034","1,230",770,"1,735",336,"1,843", - ,"1,420","8,926",888,114, - ,212,"1,214","2,458",742,"3,353", - ,"674,578"
1984,"109,075", - , - ,"292,127","73,088","29,648","12,974","22,619","36,549","8,221", - , - , - , - , - , - ,930,"594,752","132,692","2,301","2,252","139,104","1,357","1,651",573,"2,932",187,"1,310", - ,"3,051","11,498","1,047",123, - ,571,"1,741","2,429",763,"3,309", - ,"750,404"
1985,"118,405", - , - ,"312,173","90,272","31,212","17,150","30,467","34,303","6,780", - , - , - , - , - , - ,"1,517","649,584","164,161","3,147","3,030","173,188","1,333","1,901",747,"4,526",235,"2,090","3,576",814,"18,296","1,833",154, - ,748,"2,735","1,992",821,"2,986", - ,"846,789"
1986,"121,427", - , - ,"253,524","81,644","30,831","30,841","63,271","32,510","7,058", - , - , - , - , - , - ,"1,735","627,134","153,462","3,074","2,724","162,137","1,480","1,845",718,"4,626",329,"1,720","2,940",904,"16,772","2,619",148, - ,708,"3,475","2,480",790,"3,410", - ,"812,928"
1987,"195,501", - , - ,"295,007","98,014","40,194","45,411","115,472","36,866","16,035", - , - , - , - , - , - ,"3,041","849,516","164,267","3,674","2,526","173,067","2,339","1,951","1,248","9,230",410,"2,712","4,131","1,050","26,672","3,218",226, - ,642,"4,086","4,079",875,"5,069", - ,"1,058,410"
1988,"621,846", - , - ,"340,488","100,569","45,989","42,251","154,853","44,309","18,994", - , - , - , - , - , - ,"2,721","1,374,976","183,402","5,132","2,230","193,304","1,610","1,774",922,"9,277",316,"1,905","3,192","1,114","22,279","3,808",342, - ,631,"4,781","5,752",822,"6,652", - ,"1,601,992"
1989,"810,977", - , - ,"474,245","133,867","70,924","59,936","258,668","80,678","23,301", - , - , - , - , - , - ,"1,945","1,915,893","157,565","1,283",264,"159,408",241,226,75,"13,897",35,469,"2,770",162,"18,549",909,147, - ,78,"1,134","11,211","1,608","12,829", - ,"2,107,813"
1990,"1,245,764", - , - ,"591,495","221,454","96,607","57,074","355,962","65,250","32,397", - , - , - , - , - , - ,"2,378","2,669,545","239,325","1,886",175,"241,519",195,187,56,"14,942",8,404,"1,908",131,"17,869",380,47, - ,1,428,"12,685",268,"12,955", - ,"2,942,316"
1991,"1,368,295", - , - ,"653,242","284,902","153,811","79,820","346,310","69,527","80,386", - , - , - , - , - , - ,"1,531","3,039,090","267,584","15,671",209,"284,062",286,698,36,"14,823",13,701,"3,436",222,"20,281","6,662","1,231", - ,1,"7,894","14,513",231,"14,749", - ,"3,366,076"
1992,"1,747,404", - , - ,"748,112","302,184","220,306","136,248","359,827","139,099","110,560", - , - , - , - , - , - ,"30,041","3,794,401","286,966","32,776",86,"320,678",415,334,129,"25,104",124,819,"8,430",227,"35,729","38,481","7,870", - ,216,"46,567","17,234",121,"17,359", - ,"4,214,734"
