,亞洲地區,,,,,,,,,,,,,,美洲地區,,,,,,,歐洲地區,,,,,,,,,,,,,大洋洲,,,,非洲地區,,,,,
,日本 Japan,韓國 Korea,印度 India,中東 Middle East,東南亞地區,,,,,,,,亞洲其他地區 Others,亞洲合計 Total,加拿大 Canada,美國 U.S.A.,墨西哥 Mexico,巴西 Brazil,阿根廷 Argentina,美洲其他地區 Others,美洲合計 Total,比利時 Belgium,法國 France,德國 Germany,義大利 Italy,荷蘭 Netherlands,瑞士 Switzerland,西班牙 Spain,英國 U.K.,奧地利 Austria,希臘 Greece,瑞典 Sweden,歐洲其他地區 Others,歐洲合計 Total,澳大利亞 Australia,紐西蘭 New Zealand,大洋洲其他地區 Others,大洋洲合計 Total,南非 S. Africa,非洲其他地區 Others,非洲合計 Total,未列明 Unstated,華僑 Overseas chinese,總計 Grand Total
,,,,,馬來西亞 Malaysia,新加坡 Singapore,印尼 Indonesia,菲律賓 Philippines,泰國 Thailand,越南 Vietnam,東南亞其他地區 Others,東南亞小計 Sub-Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,"3,240","3,240"
1957, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,"4,091","4,091"
1958, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,"1,152","1,152"
1959, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,"1,694","1,694"
1960, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,"2,840","2,840"
1961, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,"7,374","7,374"
1962, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,"7,679","7,679"
1963, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,"10,676","10,676"
